Titulo,Orgao,Tipos de Atendimento,Solicitação pela Internet,Entidade,Secretaria,Tipo,Forma Solicitação,Tipo Sistema,Observações
PROCON: Atendimento ao Consumidor (ONLINE),Procon,Online,https://bit.ly/procon-mogi,Prefeitura,Gabinete da Prefeita,Serviço,1Doc,Terceirizado,
PROCON: Fiscalização,Procon,"Online, Telefone",https://bit.ly/procon-mogi,Prefeitura,Gabinete da Prefeita,Serviço,1Doc,Terceirizado,
Alvará de Funcionamento (Licenciamento),Secretaria de Desenvolvimento Econômico e Trabalho,"Online, Presencial",https://mogidascruzes.1doc.com.br/b.php?pg=o/central_servicos&tab=categoria&filter=01J472N7HHC32QXA7BPKPRVT5K,Prefeitura,Desenvolvimento Econômico e Trabalho,Serviço,1Doc,Terceirizado,
Alvará de Funcionamento (Licenciamento) - Bancas de Jornal,Secretaria de Desenvolvimento Econômico e Trabalho,"Online, Presencial",https://mogidascruzes.1doc.com.br/b.php?pg=o/central_servicos&tab=categoria&filter=01J472N7HHC32QXA7BPKPRVT5K,Prefeitura,Desenvolvimento Econômico e Trabalho,Serviço,1Doc,Terceirizado,
Alvará de Funcionamento (Licenciamento) - Casas Noturnas e Similares,Secretaria de Desenvolvimento Econômico e Trabalho,"Online, Presencial",https://mogidascruzes.1doc.com.br/b.php?pg=o/central_servicos&tab=categoria&filter=01J472N7HHC32QXA7BPKPRVT5K,Prefeitura,Desenvolvimento Econômico e Trabalho,Serviço,1Doc,Terceirizado,
Alvará de Funcionamento (Licenciamento) - Demais Atividades de Alto Risco,Secretaria de Desenvolvimento Econômico e Trabalho,"Online, Presencial",https://mogidascruzes.1doc.com.br/b.php?pg=o/central_servicos&tab=categoria&filter=01J472N7HHC32QXA7BPKPRVT5K,Prefeitura,Desenvolvimento Econômico e Trabalho,Serviço,1Doc,Terceirizado,
Alvará de Funcionamento (Licenciamento) - Estações Transmissoras de Radiocomunicação,Secretaria de Desenvolvimento Econômico e Trabalho,"Online, Presencial",https://mogidascruzes.1doc.com.br/b.php?pg=o/central_servicos&tab=categoria&filter=01J472N7HHC32QXA7BPKPRVT5K,Prefeitura,Desenvolvimento Econômico e Trabalho,Serviço,1Doc,Terceirizado,
Alvará de Funcionamento (Licenciamento) - Indústrias e Postos de Combustível,Secretaria de Desenvolvimento Econômico e Trabalho,"Online, Presencial",https://mogidascruzes.1doc.com.br/b.php?pg=o/central_servicos&tab=categoria&filter=01J472N7HHC32QXA7BPKPRVT5K,Prefeitura,Desenvolvimento Econômico e Trabalho,Serviço,1Doc,Terceirizado,
Alvará de Funcionamento (Licenciamento) - Instituições de Ensino,Secretaria de Desenvolvimento Econômico e Trabalho,"Online, Presencial",https://mogidascruzes.1doc.com.br/b.php?pg=o/central_servicos&tab=categoria&filter=01J472N7HHC32QXA7BPKPRVT5K,Prefeitura,Desenvolvimento Econômico e Trabalho,Serviço,1Doc,Terceirizado,
Alvará de Funcionamento (Licenciamento) - Profissionais Autônomos / Profissionais da Saúde,Secretaria de Desenvolvimento Econômico e Trabalho,"Online, Presencial",https://mogidascruzes.1doc.com.br/b.php?pg=o/central_servicos&tab=categoria&filter=01J472N7HHC32QXA7BPKPRVT5K,Prefeitura,Desenvolvimento Econômico e Trabalho,Serviço,1Doc,Terceirizado,
Alvará de Funcionamento (Licenciamento) - Templos Religiosos,Secretaria de Desenvolvimento Econômico e Trabalho,"Online, Presencial",https://mogidascruzes.1doc.com.br/b.php?pg=o/central_servicos&tab=categoria&filter=01J472N7HHC32QXA7BPKPRVT5K,Prefeitura,Desenvolvimento Econômico e Trabalho,Serviço,1Doc,Terceirizado,
Parecer Técnico - Lei nº 8.169/2024,Secretaria de Desenvolvimento Econômico e Trabalho,"Online, Presencial",https://mogidascruzes.1doc.com.br/b.php?pg=o/central_servicos&tab=categoria&filter=01J472N7HHC32QXA7BPKPRVT5K,Prefeitura,Desenvolvimento Econômico e Trabalho,Serviço,1Doc,Terceirizado,
Redução de ISSQN para empresas de Tecnologia da Informação e Comunicação (TIC),Secretaria de Desenvolvimento Econômico e Trabalho,"Online, Presencial",https://mogidascruzes.1doc.com.br/b.php?pg=o/central_servicos&tab=categoria,Prefeitura,Desenvolvimento Econômico e Trabalho,Serviço,1Doc,Terceirizado,
Atestado de Capacidade Técnica,Secretaria de Educação,Online,https://mogidascruzes.1doc.com.br/,Prefeitura,Educação,Serviço,1Doc,Terceirizado,
Autorização de Funcionamento para Escolas,Secretaria de Educação,Online,https://mogidascruzes.1doc.com.br/,Prefeitura,Educação,Serviço,1Doc,Terceirizado,
Encerramento de Atividades para Escolas Particulares de Educação Infantil,Secretaria de Educação,Online,https://mogidascruzes.1doc.com.br/,Prefeitura,Educação,Serviço,1Doc,Terceirizado,
Solicitação de Mudança de Endereço para Escolas Particulares de Educação Infantil,Secretaria de Educação,Online,https://mogidascruzes.1doc.com.br/,Prefeitura,Educação,Serviço,1Doc,Terceirizado,
Suspensão Temporária de Atividades para Escolas Particulares de Educação Infantil,Secretaria de Educação,Online,https://mogidascruzes.1doc.com.br/,Prefeitura,Educação,Serviço,1Doc,Terceirizado,
Validação e encaminhamento dos pagamentos de fornecedores,Secretaria de Educação,Online,https://mogidascruzes.1doc.com.br/,Prefeitura,Educação,Serviço,1Doc,Terceirizado,
Cadastro CCM: Autorização para emissão de Nota de Exportação,Secretaria de Finanças,Online,https://mogidascruzes.1doc.com.br/b.php?pg=wp/wp&itd=6,Prefeitura,Finanças,Serviço,1Doc,Terceirizado,
Cadastro CCM: Certidão de Cadastro / Inscrição Mobiliária (CCM),Secretaria de Finanças,Online,https://mogidascruzes.1doc.com.br/b.php?pg=wp/wp&itd=6,Prefeitura,Finanças,Serviço,1Doc,Terceirizado,
Cadastro CCM: Impugnação do Indeferimento Simples Nacional,Secretaria de Finanças,Online,https://mogidascruzes.1doc.com.br/b.php?pg=wp/wp&itd=6,Prefeitura,Finanças,Serviço,1Doc,Terceirizado,
Cadastro CCM: Inclusão de Taxa de Fiscalização e Instalação (TFI e ISSQN) em Dívida Ativa,Secretaria de Finanças,Online,https://mogidascruzes.1doc.com.br/b.php?pg=o/wp&s=mogidascruzes,Prefeitura,Finanças,Serviço,1Doc,Terceirizado,
Cadastro CCM: Isenção / Imunidade do TFI ou ISSQN,Secretaria de Finanças,Online,https://mogidascruzes.1doc.com.br/b.php?pg=wp/wp&itd=6,Prefeitura,Finanças,Serviço,1Doc,Terceirizado,
Cadastro CCM: Não Incidência do ISSQN (Exportação),Secretaria de Finanças,Online,https://mogidascruzes.1doc.com.br/b.php?pg=wp/wp&itd=6,Prefeitura,Finanças,Serviço,1Doc,Terceirizado,
Cadastro CCM: Nota Fiscal de Serviços Avulsa,Secretaria de Finanças,Online,https://mogidascruzes.1doc.com.br/b.php?pg=wp/wp&itd=6,Prefeitura,Finanças,Serviço,1Doc,Terceirizado,
Cadastro CCM: Requerimento para Abertura de Processo (Pedidos Diversos),Secretaria de Finanças,Online,https://mogidascruzes.1doc.com.br/b.php?pg=o/wp&s=mogidascruzes,Prefeitura,Finanças,Serviço,1Doc,Terceirizado,
Cadastro CCM: Restituição de Pagamento (ISS / Cadastro Mobiliário / Construção Civil),Secretaria de Finanças,Online,https://mogidascruzes.1doc.com.br/b.php?pg=wp/wp&itd=6,Prefeitura,Finanças,Serviço,1Doc,Terceirizado,
CADASTRO CCM: Suspensão ou Quitação de Débitos Parcelados no Simples Nacional,Secretaria de Finanças,Online,https://mogidascruzes.1doc.com.br/b.php?pg=wp/wp&itd=6,Prefeitura,Finanças,Serviço,1Doc,Terceirizado,
Construção Civil: Decadência / Não Incidência de ISSQN sobre a Construção Civil,Secretaria de Finanças,Online,https://mogidascruzes.1doc.com.br/b.php?pg=wp/wp&itd=6,Prefeitura,Finanças,Serviço,1Doc,Terceirizado,
Construção Civil: Dedução da Base de Cálculo do ISSQN sobre a Construção Civil,Secretaria de Finanças,Online,https://mogidascruzes.1doc.com.br/b.php?pg=wp/wp&itd=6,Prefeitura,Finanças,Serviço,1Doc,Terceirizado,
Construção Civil: Inclusão de ISS de Construção Civil em Dívida Ativa,Secretaria de Finanças,Online,https://mogidascruzes.1doc.com.br/b.php?pg=wp/wp&itd=6,Prefeitura,Finanças,Serviço,1Doc,Terceirizado,
Construção Civil: Recolhimento voluntário de ISSQN sobre a Construção Civil de forma antecipada,Secretaria de Finanças,Online,https://mogidascruzes.1doc.com.br/b.php?pg=wp/wp&itd=6,Prefeitura,Finanças,Serviço,1Doc,Terceirizado,
Consulta Tributária - ISSQN,Secretaria de Finanças,Online,https://mogidascruzes.1doc.com.br/b.php?pg=wp/wp&itd=6,Prefeitura,Finanças,Serviço,1Doc,Terceirizado,
ISS/CADASTRO: Alteração no Regime de Recolhimento do ISSQN PJ,Secretaria de Finanças,Online,https://mogidascruzes.1doc.com.br/b.php?pg=wp/wp&itd=6,Prefeitura,Finanças,Serviço,1Doc,Terceirizado,
ISS/CADASTRO: Correção de Escrituração,Secretaria de Finanças,Online,https://mogidascruzes.1doc.com.br/b.php?pg=wp/wp&itd=6,Prefeitura,Finanças,Serviço,1Doc,Terceirizado,
ISS/CADASTRO: Eventos ISSQN,Secretaria de Finanças,Online,https://mogidascruzes.1doc.com.br/b.php?pg=wp/wp&itd=6,Prefeitura,Finanças,Serviço,1Doc,Terceirizado,
ISS/CADASTRO: Impugnação / Recursos contra Lançamentos de ISSQN / Construção Civil / Taxas / Recursos de 1º e 2º Instância,Secretaria de Finanças,Online,https://mogidascruzes.1doc.com.br/b.php?pg=wp/wp&itd=6,Prefeitura,Finanças,Serviço,1Doc,Terceirizado,
ISS/CADASTRO: Regime Especial de Emissão de Notas Fiscais para Estacionamentos,Secretaria de Finanças,Online,https://mogidascruzes.1doc.com.br/b.php?pg=wp/wp&itd=6,Prefeitura,Finanças,Serviço,1Doc,Terceirizado,
ISS/CADASTRO: Retificação / Alteração de Nota Fiscal,Secretaria de Finanças,Online,https://mogidascruzes.1doc.com.br/b.php?pg=wp/wp&itd=6,Prefeitura,Finanças,Serviço,1Doc,Terceirizado,
ISS: Inclusão de Auto de infração em Dívida Ativa,Secretaria de Finanças,Online,https://mogidascruzes.1doc.com.br/b.php?pg=wp/wp&itd=6,Prefeitura,Finanças,Serviço,1Doc,Terceirizado,
Nota Fiscal - Desobrigatoriedade de Emissão de Notas Fiscais,Secretaria de Finanças,Online,https://mogidascruzes.1doc.com.br/b.php?pg=wp/wp&itd=6,Prefeitura,Finanças,Serviço,1Doc,Terceirizado,
Nota Fiscal: Cancelamento de NFS-e,Secretaria de Finanças,Online,https://mogidascruzes.1doc.com.br/b.php?pg=wp/wp&itd=6,Prefeitura,Finanças,Serviço,1Doc,Terceirizado,
PRESTAÇÃO DE CONTAS - PROMAE (Programa Mogiano de Atração de Investimentos e Geração de Empregos) -Manutenção do Benefício,Secretaria de Finanças,Online,https://mogidascruzes.1doc.com.br/b.php?pg=wp/wp&itd=6,Prefeitura,Finanças,Serviço,1Doc,Terceirizado,
Cadastro CCM: Alteração de Regime do Simples Nacional para Diferenciado,Secretaria de Finanças,"Online, Presencial",https://mogidascruzes.1doc.com.br/b.php?pg=wp/wp&itd=6,Prefeitura,Finanças,Serviço,1Doc,Terceirizado,
Cadastro CCM: Certidão de Dispensa de Emissão de Nota Fiscal,Secretaria de Finanças,"Online, Presencial",https://mogidascruzes.1doc.com.br/b.php?pg=o/wp&s=mogidascruzes,Prefeitura,Finanças,Serviço,1Doc,Terceirizado,
Cadastro CCM: DAS Avulso (Simples Nacional) Regularização de Pagamento,Secretaria de Finanças,"Online, Presencial",https://mogidascruzes.1doc.com.br/b.php?pg=wp/wp&itd=6,Prefeitura,Finanças,Serviço,1Doc,Terceirizado,
"Cadastro CCM: Listagem de Indústrias, Comércios e Prestadores de Serviços",Secretaria de Finanças,"Online, Presencial",https://mogidascruzes.1doc.com.br/b.php?pg=wp/wp&itd=6,Prefeitura,Finanças,Serviço,1Doc,Terceirizado,
Cadastro CCM: Regularização de Baixa de Pagamento no Sistema da Prefeitura,Secretaria de Finanças,"Online, Presencial",https://mogidascruzes.1doc.com.br/b.php?pg=wp/wp&itd=6,Prefeitura,Finanças,Serviço,1Doc,Terceirizado,
"Cadastro CCM: Revisão do Carnê de Taxa de Fiscalização e Instalação, Taxa de Publicidade ou ISS Estimativa",Secretaria de Finanças,"Online, Presencial",https://mogidascruzes.1doc.com.br/b.php?pg=wp/wp&itd=6,Prefeitura,Finanças,Serviço,1Doc,Terceirizado,
Construção Civil: Regularização de ISSQN (Atendimento à Notificação),Secretaria de Finanças,"Online, Presencial",https://mogidascruzes.1doc.com.br/b.php?pg=wp/wp&itd=6,Prefeitura,Finanças,Serviço,1Doc,Terceirizado,
ISS/CADASTRO: Solicitações diversas de ISSQN,Secretaria de Finanças,"Online, Presencial",https://mogidascruzes.1doc.com.br/b.php?pg=wp/wp&itd=6,Prefeitura,Finanças,Serviço,1Doc,Terceirizado,
Alteração Cadastral para empresas que possuem contratos com a Prefeitura,Secretaria de Gestão e Contratações Públicas,Online,https://mogidascruzes.1doc.com.br/atendimento,Prefeitura,Gestão e Contratações Públicas,Serviço,1Doc,Terceirizado,
Atestado de Capacidade Técnica de Empresa,Secretaria de Gestão e Contratações Públicas,Online,https://mogidascruzes.1doc.com.br/atendimento,Prefeitura,Gestão e Contratações Públicas,Serviço,1Doc,Terceirizado,
Protocolo de RH,Secretaria de Gestão e Contratações Públicas,"Online, Presencial",https://mogidascruzes.1doc.com.br/b.php?pg=wp/wp&itd=14,Prefeitura,Gestão e Contratações Públicas,Serviço,1Doc,Terceirizado,
Solicitação de alteração na Ata/Contrato,Secretaria de Gestão e Contratações Públicas,"Online, Presencial",https://mogidascruzes.1doc.com.br/atendimento,Prefeitura,Gestão e Contratações Públicas,Serviço,1Doc,Terceirizado,
Cópia/Vistas de Processos Administrativos,Secretaria de Governo e Transparência,Online,https://lai.mogidascruzes.sp.gov.br,Prefeitura,Governo e Transparência,Serviço,1Doc,Terceirizado,
Solicitação de Acesso à Informação - LAI,Secretaria de Governo e Transparência,"Online, Presencial",https://lai.mogidascruzes.sp.gov.br,Prefeitura,Governo e Transparência,Serviço,1Doc,Terceirizado,
Autorização para corte de árvores acima de 10 indivíduos e Fragmento Florestal (Agenda Verde),Secretaria de Meio Ambiente e Proteção Animal,Online,https://mogidascruzes.1doc.com.br/b.php?pg=wp/wp&itd=21,Prefeitura,Meio Ambiente e Proteção Animal,Serviço,1Doc,Terceirizado,
Autorização para Intervenção em Área de Preservação Permanente (APP),Secretaria de Meio Ambiente e Proteção Animal,Online,https://mogidascruzes.1doc.com.br/b.php?pg=wp/wp&itd=21,Prefeitura,Meio Ambiente e Proteção Animal,Serviço,1Doc,Terceirizado,
Autorização para Supressão ou Transplante de até 10 árvores isoladas em propriedade privada.,Secretaria de Meio Ambiente e Proteção Animal,Online,https://mogidascruzes.1doc.com.br/b.php?pg=wp/wp&itd=21,Prefeitura,Meio Ambiente e Proteção Animal,Serviço,1Doc,Terceirizado,
Exame Técnico Ambiental Municipal para Licenciamentos CETESB,Secretaria de Meio Ambiente e Proteção Animal,Online,https://mogidascruzes.1doc.com.br/b.php?pg=wp/wp&itd=21,Prefeitura,Meio Ambiente e Proteção Animal,Serviço,1Doc,Terceirizado,
Licenciamento Ambiental Municipal,Secretaria de Meio Ambiente e Proteção Animal,Online,https://mogidascruzes.1doc.com.br/b.php?pg=wp/wp&itd=21,Prefeitura,Meio Ambiente e Proteção Animal,Serviço,1Doc,Terceirizado,
Alvará para Realização de Shows e Eventos,Secretaria de Segurança,Online,http://mogidascruzes.1doc.com.br/b.php?pg=wp/wp&itd=6,Prefeitura,Segurança,Serviço,1Doc,Terceirizado,
Prorrogação de Prazo para Atendimento de Notificação da Fiscalização de Posturas,Secretaria de Segurança,Online,http://mogidascruzes.1doc.com.br/b.php?pg=wp/wp&itd=6,Prefeitura,Segurança,Serviço,1Doc,Terceirizado,
Autorização para Rebaixamento de Guias,Secretaria de Segurança,"Online, Presencial",http://mogidascruzes.1doc.com.br/b.php?pg=wp/wp&itd=6,Prefeitura,Segurança,Serviço,1Doc,Terceirizado,
Cancelamento de Multa,Secretaria de Segurança,"Online, Presencial",http://mogidascruzes.1doc.com.br/b.php?pg=wp/wp&itd=6,Prefeitura,Segurança,Serviço,1Doc,Terceirizado,
Solicitação de filmagens de totens de segurança ou de câmeras de monitoramento,Secretaria de Segurança,"Online, Presencial",https://mogidascruzes.1doc.com.br/b.php?pg=wp/wp&itd=6,Prefeitura,Segurança,Serviço,1Doc,Terceirizado,
2ª Via de Carnê do Semae,Serviço Municipal de Águas e Esgotos,Online,https://agenciavirtual.semae.sp.gov.br/consumidor/,SEMAE,SEMAE,Serviço,Agência Virtual,Terceirizado,
2ª Via de Conta de Água,Serviço Municipal de Águas e Esgotos,Online,https://agenciavirtual.semae.sp.gov.br/consumidor/,SEMAE,SEMAE,Serviço,Agência Virtual,Terceirizado,
Acompanhamento de Solicitações ao Semae,Serviço Municipal de Águas e Esgotos,Online,https://agenciavirtual.semae.sp.gov.br/consumidor/,SEMAE,SEMAE,Serviço,Agência Virtual,Terceirizado,
Certidão Negativa de Débitos do Semae,Serviço Municipal de Águas e Esgotos,Online,https://agenciavirtual.semae.sp.gov.br/consumidor/,SEMAE,SEMAE,Serviço,Agência Virtual,Terceirizado,
Histórico de Consumo de Água,Serviço Municipal de Águas e Esgotos,Online,https://agenciavirtual.semae.sp.gov.br/consumidor/,SEMAE,SEMAE,Serviço,Agência Virtual,Terceirizado,
Levantamento de Débitos do Semae,Serviço Municipal de Águas e Esgotos,Online,https://agenciavirtual.semae.sp.gov.br/consumidor/,SEMAE,SEMAE,Serviço,Agência Virtual,Terceirizado,
Alteração de Titularidade,Serviço Municipal de Águas e Esgotos,"Online, Presencial",https://agenciavirtual.semae.sp.gov.br,SEMAE,SEMAE,Serviço,Agência Virtual,Terceirizado,
PROCON: Atendimento ao Consumidor (PRESENCIAL),Procon,"Presencial, Telefone",,Prefeitura,Gabinete da Prefeita,Serviço,Agendamento Online (DRTI),Próprio,
2ª Via do Título de Registro de Profissional ou de Firma,Secretaria de Planejamento e Urbanismo,Online,https://mogidascruzes.prefeituras.net/,Prefeitura,Planejamento e Urbanismo,Serviço,Aprova Digital,Terceirizado,
Alinhamento de Terreno ou Gleba,Secretaria de Planejamento e Urbanismo,Online,https://mogidascruzes.prefeituras.net/,Prefeitura,Planejamento e Urbanismo,Serviço,Aprova Digital,Terceirizado,
Alvará de Capacidade de Lotação,Secretaria de Planejamento e Urbanismo,Online,https://mogidascruzes.prefeituras.net/,Prefeitura,Planejamento e Urbanismo,Serviço,Aprova Digital,Terceirizado,
Alvará de Construção de Túmulo de Cemitério,Secretaria de Planejamento e Urbanismo,Online,https://mogidascruzes.prefeituras.net/,Prefeitura,Planejamento e Urbanismo,Serviço,Aprova Digital,Terceirizado,
Alvará de Demolição,Secretaria de Planejamento e Urbanismo,Online,https://mogidascruzes.prefeituras.net/,Prefeitura,Planejamento e Urbanismo,Serviço,Aprova Digital,Terceirizado,
Alvará de Reforma de Túmulo de Cemitério,Secretaria de Planejamento e Urbanismo,Online,https://mogidascruzes.prefeituras.net/,Prefeitura,Planejamento e Urbanismo,Serviço,Aprova Digital,Terceirizado,
Anuência Prévia/Certidão de Conformidade de Loteamento,Secretaria de Planejamento e Urbanismo,Online,https://mogidascruzes.prefeituras.net/,Prefeitura,Planejamento e Urbanismo,Serviço,Aprova Digital,Terceirizado,
"Aprovação de Desdobros, Remembramentos e Desmembramentos (até 10 Lotes)",Secretaria de Planejamento e Urbanismo,Online,https://mogidascruzes.prefeituras.net/,Prefeitura,Planejamento e Urbanismo,Serviço,Aprova Digital,Terceirizado,
Aprovação de Painel de Publicidade,Secretaria de Planejamento e Urbanismo,Online,https://mogidascruzes.prefeituras.net/,Prefeitura,Planejamento e Urbanismo,Serviço,Aprova Digital,Terceirizado,
Aprovação de Projetos (Comércio),Secretaria de Planejamento e Urbanismo,Online,https://mogidascruzes.prefeituras.net/,Prefeitura,Planejamento e Urbanismo,Serviço,Aprova Digital,Terceirizado,
Aprovação de Projetos (Condomínios),Secretaria de Planejamento e Urbanismo,Online,https://mogidascruzes.prefeituras.net/,Prefeitura,Planejamento e Urbanismo,Serviço,Aprova Digital,Terceirizado,
Aprovação de Projetos (Indústria),Secretaria de Planejamento e Urbanismo,Online,https://mogidascruzes.prefeituras.net/,Prefeitura,Planejamento e Urbanismo,Serviço,Aprova Digital,Terceirizado,
Aprovação de Projetos (Residências Unifamiliares),Secretaria de Planejamento e Urbanismo,Online,https://mogidascruzes.prefeituras.net/,Prefeitura,Planejamento e Urbanismo,Serviço,Aprova Digital,Terceirizado,
Aprovação Final de Desmembramento (mais de 10 Lotes),Secretaria de Planejamento e Urbanismo,Online,https://mogidascruzes.prefeituras.net/,Prefeitura,Planejamento e Urbanismo,Serviço,Aprova Digital,Terceirizado,
Aprovação Final de Loteamento,Secretaria de Planejamento e Urbanismo,Online,https://mogidascruzes.prefeituras.net/,Prefeitura,Planejamento e Urbanismo,Serviço,Aprova Digital,Terceirizado,
Autorização para instalação de Estação de Transmissora de Radiocomunicação - ETR,Secretaria de Planejamento e Urbanismo,Online,https://mogidascruzes.aprova.com.br/,Prefeitura,Planejamento e Urbanismo,Serviço,Aprova Digital,Terceirizado,
Autorização para Terraplenagem,Secretaria de Planejamento e Urbanismo,Online,https://mogidascruzes.prefeituras.net/,Prefeitura,Planejamento e Urbanismo,Serviço,Aprova Digital,Terceirizado,
Cadastro de Estação Transmissora de Radiocomunicação 5G - ETR de Pequeno Porte ou ETR Móvel,Secretaria de Planejamento e Urbanismo,Online,https://mogidascruzes.aprova.com.br/,Prefeitura,Planejamento e Urbanismo,Serviço,Aprova Digital,Terceirizado,
