carta_servico_prefeitura,carta_servico_colab,prazo,secretaria,entidade
Atendimento ao Cidadão (Ouvidoria),Elogio à Zoonose,30,,Prefeitura
Atendimento ao Cidadão (Ouvidoria),Reclamação falta de vagas - Escolas,30,,Prefeitura
Atendimento ao Cidadão (Ouvidoria),Denúncia à SEMAS,30,,Prefeitura
Atendimento ao Cidadão (Ouvidoria),Reclamação da Rodoviária,30,,Prefeitura
Atendimento ao Cidadão (Ouvidoria),Denúncia saúde do trabalhador,30,,Prefeitura
Atendimento ao Cidadão (Ouvidoria),Elogio à Ouvidoria,30,,Prefeitura
Atendimento ao Cidadão (Ouvidoria),Reclamação do Controle de Zoonoses,30,,Prefeitura
Atendimento ao Cidadão (Ouvidoria),Informações gerais,30,,Prefeitura
Atendimento ao Cidadão (Ouvidoria),Reclamação falta de vaga - Creches,30,,Prefeitura
Atendimento ao Cidadão (Ouvidoria),Reclamação CAPS,30,,Prefeitura
Atendimento ao Cidadão (Ouvidoria),Reclamação radar,30,,Prefeitura
Atendimento ao Cidadão (Ouvidoria),Reclamação do CRAS,30,,Prefeitura
Atendimento ao Cidadão (Ouvidoria),Reclamação marcação de consulta,30,,Prefeitura
Atendimento ao Cidadão (Ouvidoria),Reclamação Tapa Buraco SEMAE,30,,Prefeitura
Atendimento ao Cidadão (Ouvidoria),Reclamação Mogi Iluminada,30,,Prefeitura
